Test,InteractiveGraphCut,LazySnapping
Berkeley\12003,0.776543,0
Berkeley\124084,0.97975,4.66533e-07
Berkeley\176035,0.625019,0
Berkeley\187029,0.683058,0
Berkeley\187083,0.649161,0
Berkeley\189011,0.592479,0
Berkeley\207056,0.459228,0
Berkeley\227092,0.559575,0
Berkeley\296059,0.379693,0
Berkeley\35070,0.704918,0
Berkeley\66075,0.725498,0
Berkeley\85048,0.836335,0
our\1,8.67834,0
our\10,9.96709,0
our\11,8.32298,0
our\12,7.35764,0
our\2,9.0239,0
our\3,1.75734,0
our\4,1.8925,0
our\5,6.01838,0
our\6,8.84306,0
our\7,8.21283,0
our\8,8.12706,0
our\9,10.5497,0
